Check NPs,Check V,raw_order,condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Target,Continuation,Target.Freq,Target.Prob,Nresponses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-,-,243,3,long.high,1,3,61,long,high,g,65,a,The bride,forgot,which,seamstress,the,bridesmaid,with a ponytail,had,hired,for the wedding.,8,0.258064516,31,altered,bought from,chosen,chosen,dealt with,gone to,gotten her dress from,hated,helped,hired,hired,hired,hired,hired,hired,hired,hired,hired to do the job,insulted,picked,requested,requested,requested,spoken to,used,used,used,used,used,used,worked with,#REF!
-,-,244,4,long.low,1,4,61,long,low,b,65,b,The bride,forgot,which,bridesmaid,the,seamstress,with a ponytail,had,hired,for the wedding.,0,0,31,altered,assisted,been talking with,burned,fitted,fitted,fitted,fitted for a purple dress,forgotten about,helped,helped,insulted,liked,made alterations for,measured,measured,measured,measured,measured,measured ,offended,punched,served,sewn for,stuck,talked to,talked to,talked to,used,visited,worked for,#REF!
-,-,245,1,short.high,2,3,62,short,high,g,65,b,The bride,forgot,which,bridesmaid,the,seamstress,,had,measured,for the dress.,5,0.166666667,30,altered,altered her dress too small,asked,been friends with,called,contacted,disliked,finished with,fitted,fitted,fixed the dress for,helped,helped,helped,made the dress for,measured,measured,measured,measured,measured,overlooked,poked,preferred,seamed,seen first,sewn,sewn for,spoken to,used,yet to take her measurements,0,0
-,-,246,2,short.low,2,4,62,short,low,b,65,a,The bride,forgot,which,seamstress,the,bridesmaid,,had,measured,for the dress.,0,0,32,alter her dress,called,chose,chosen,chosen,chosen,chosen,discussed with,gone to,hired,hired,hired,hired,hired,hired,hired,hired,hired,ordered,recommended,recommended ,referred her to,referred her to,scheduled,selected,spoken to,talked to on the phone,used,used,used,visited,visited
-,-,247,3,long.high,2,2,62,long,high,g,65,b,The bride,forgot,which,bridesmaid,the,seamstress,with a ponytail,had,measured,for the dress.,5,0.161290323,31,altered,assisted,been talking with,burned,fitted,fitted,fitted,fitted for a purple dress,forgotten about,helped,helped,insulted,liked,made alterations for,measured,measured,measured,measured,measured,measured ,offended,punched,served,sewn for,stuck,talked to,talked to,talked to,used,visited,worked for,#REF!
-,-,248,4,long.low,2,1,62,long,low,b,65,a,The bride,forgot,which,seamstress,the,bridesmaid,with a ponytail,had,measured,for the dress.,0,0,31,altered,bought from,chosen,chosen,dealt with,gone to,gotten her dress from,hated,helped,hired,hired,hired,hired,hired,hired,hired,hired,hired to do the job,insulted,picked,requested,requested,requested,spoken to,used,used,used,used,used,used,worked with,#REF!
-,-,251,1,short.high,3,2,63,short,high,g,68,a,The defense lawyer,realized,which,thief,the,cop,,had,arrested,at the crime scene.,18,0.5625,32,apprehended ,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested ,arrested ,captured,captured,caught,caught,caught,charged,handcuffed,ignored,shot,shot,wrongly arrested
-,-,252,2,short.low,3,1,63,short,low,b,68,b,The defense lawyer,realized,which,cop,the,thief,,had,arrested,at the crime scene.,2,0.066666667,30,arrested,arrested,assisted,assualted,attacked,attacked,attacked,been apprehended by,been arrested by,bribed,cursed,fingered,fingered,hit,insulted,killed,mentioned,outrun,punched,ran from,ran into,shot,shot,shot,shot,shot,stabbed,stolen from,stolen from,worked with,0,0
-,-,249,3,long.high,3,4,63,long,high,g,68,a,The defense lawyer,realized,which,thief,the,cop,with many freckles,had,arrested,at the crime scene.,14,0.451612903,31,apprehended,apprehended,apprehended,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,been talking about,captured,caught,caught,chased,found,identified,identified,punched,really stolen the jewels,shot,spotted,tricked,wrongly apprehended,#REF!
-,-,250,4,long.low,3,3,63,long,low,b,68,b,The defense lawyer,realized,which,cop,the,thief,with many freckles,had,arrested,at the crime scene.,1,0.032258065,31,alluded,annoyed,arrested,attacked,attacked,attacked,been arrested by,been arrested by,been arrested by,been arrested by,bribed,encountered,escaped from,evaded,hidden from,ran away from,ran into,resisted,robbed,run from,shot,shot,shot,shot,shot,shot,stolen something from,strangled,tricked,worked with,worked with,#REF!
-,-,253,1,short.high,4,4,64,short,high,g,68,b,The defense lawyer,realized,which,cop,the,thief,,had,shot,with his gun.,5,0.166666667,30,arrested,arrested,assisted,assualted,attacked,attacked,attacked,been apprehended by,been arrested by,bribed,cursed,fingered,fingered,hit,insulted,killed,mentioned,outrun,punched,ran from,ran into,shot,shot,shot,shot,shot,stabbed,stolen from,stolen from,worked with,0,0
-,-,254,2,short.low,4,3,64,short,low,b,68,a,The defense lawyer,realized,which,thief,the,cop,,had,shot,with his gun.,1,0.03125,32,apprehended ,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested ,arrested ,captured,captured,caught,caught,caught,charged,handcuffed,ignored,shot,shot,wrongly arrested
-,-,255,3,long.high,4,2,64,long,high,g,68,b,The defense lawyer,realized,which,cop,the,thief,with many freckles,had,shot,with his gun.,6,0.193548387,31,alluded,annoyed,arrested,attacked,attacked,attacked,been arrested by,been arrested by,been arrested by,been arrested by,bribed,encountered,escaped from,evaded,hidden from,ran away from,ran into,resisted,robbed,run from,shot,shot,shot,shot,shot,shot,stolen something from,strangled,tricked,worked with,worked with,#REF!
-,-,256,4,long.low,4,1,64,long,low,b,68,a,The defense lawyer,realized,which,thief,the,cop,with many freckles,had,shot,with his gun.,1,0.032258065,31,apprehended,apprehended,apprehended,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,arrested,been talking about,captured,caught,caught,chased,found,identified,identified,punched,really stolen the jewels,shot,spotted,tricked,wrongly apprehended,#REF!
-,-,257,1,short.high,5,1,65,short,high,g,73,a,The judge,reviewed,which,defendant,the,lawyer,,had,defended,before the jury.,7,0.21875,32,accused,assited,brought forward,called,chosen,counseled,defended,defended,defended,defended,defended,defended,defrended,helped,indicated,interviewed,presented,prosecuted,prosecuted,represented,represented,represented,represented,represented,represented,represented,represented,represented,slammed,supported,taken on as a client,tried
-,-,258,2,short.low,5,2,65,short,low,b,73,b,The judge,reviewed,which,lawyer,the,defendant,,had,defended,before the jury.,1,0.033333333,30,at the last trial,been assigned,chose,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,defending him,fired,gotten to defend him,hired,hired,hired,hired,hired,hired,hired,interviewed,obtained,rejected,selected,selected,selected,used,used in his trial,worked with at trail,0,0
-,-,259,3,long.high,5,3,65,long,high,g,73,a,The judge,reviewed,which,defendant,the,lawyer,in a bowtie,had,defended,before the jury.,7,0.225806452,31,accused,argued a case for,been assigned,counseled,cross-examined,defended,defended,defended,defended,defended,defended,defended,helped,helped,helped,hired,lied,next,questioned,represented,represented,represented,represented,represented,represented,represented,saved,singled out,spoken to,spoken to,tried to help,#REF!
-,-,260,4,long.low,5,4,65,long,low,b,73,b,The judge,reviewed,which,lawyer,the,defendant,in a bowtie,had,defended,before the jury.,0,0,31,appointed,been assigned,been assigned,been represented by,been represented by ,chosen,chosen,chosen,chosen,contracted,defend him,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,protected,represented,retained,sneered at,spoken,spoken with,talked to,#REF!
-,-,263,1,short.high,1,3,66,short,high,g,73,b,The judge,reviewed,which,lawyer,the,defendant,,had,hired,for the trial.,7,0.233333333,30,at the last trial,been assigned,chose,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,defending him,fired,gotten to defend him,hired,hired,hired,hired,hired,hired,hired,interviewed,obtained,rejected,selected,selected,selected,used,used in his trial,worked with at trail,0,0
-,-,264,2,short.low,1,4,66,short,low,b,73,a,The judge,reviewed,which,defendant,the,lawyer,,had,hired,for the trial.,0,0,32,accused,assited,brought forward,called,chosen,counseled,defended,defended,defended,defended,defended,defended,defrended,helped,indicated,interviewed,presented,prosecuted,prosecuted,represented,represented,represented,represented,represented,represented,represented,represented,represented,slammed,supported,taken on as a client,tried
-,-,261,3,long.high,1,1,66,long,high,g,73,b,The judge,reviewed,which,lawyer,the,defendant,in a bowtie,had,hired,for the trial.,12,0.387096774,31,appointed,been assigned,been assigned,been represented by,been represented by ,chosen,chosen,chosen,chosen,contracted,defend him,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,protected,represented,retained,sneered at,spoken,spoken with,talked to,#REF!
-,-,262,4,long.low,1,2,66,long,low,b,73,a,The judge,reviewed,which,defendant,the,lawyer,in a bowtie,had,hired,for the trial.,1,0.032258065,31,accused,argued a case for,been assigned,counseled,cross-examined,defended,defended,defended,defended,defended,defended,defended,helped,helped,helped,hired,lied,next,questioned,represented,represented,represented,represented,represented,represented,represented,saved,singled out,spoken to,spoken to,tried to help,#REF!
-,-,267,1,short.high,2,1,67,short,high,g,75,a,The manicurist,guessed,which,millionaire,the,hairdresser,,had,worked,for during the summer.,4,0.125,32,as a client ,attended too,bamboozled,been employed with,been with,chosen,dated,dated,done,groomed on a regular basis,had intimate relations with,helped,hired,known,liked,manicured,scalped,seen,seen at the party,serviced,serviced yesterday,shampooed,shaved,styled,styled,styled,treated,treated,worked for,worked for,worked for,worked for 
-,-,268,2,short.low,2,2,67,short,low,b,75,b,The manicurist,guessed,which,hairdresser,the,millionaire,,had,worked,for during the summer.,1,0.033333333,30,always liked,been seeing,been to,blamed,chose,chosen,dated,employed,gone to,gotten their hair done by,her hair cut by,hired,hired,hired,hired,paid,paid,paid ,picked,seen,selected,slept with,styled,used,used,used,visited,visited,visited,worked for in the past,0,0
-,-,265,3,long.high,2,4,67,long,high,g,75,a,The manicurist,guessed,which,millionaire,the,hairdresser,from southern California,had,worked,for during the summer.,5,0.161290323,31,as a client,as a client,coiffed,cut their hair,groomed,known,married,married,married,married,married,met,offended,quit,recommended,served,serviced,serviced,spoken with,styled,styled,syled,used,visited,worked for,worked for,worked for,worked for,worked for,worked on,worked on,#REF!
-,-,266,4,long.low,2,3,67,long,low,b,75,b,The manicurist,guessed,which,hairdresser,the,millionaire,from southern California,had,worked,for during the summer.,0,0,31,as their own,been to,been to,fired,frequented,gone to,gone to,gone to,gone to see,hired,hired,hired,hired,hired,hired for the event,liked the least,made an appointment with,married,paid,picked,received a haircut from,requested,used,used,used,used,used,used,visited,visited,visited,#REF!
-,-,271,1,short.high,3,4,68,short,high,g,75,b,The manicurist,guessed,which,hairdresser,the,millionaire,,had,used,for the event.,3,0.1,30,always liked,been seeing,been to,blamed,chose,chosen,dated,employed,gone to,gotten their hair done by,her hair cut by,hired,hired,hired,hired,paid,paid,paid ,picked,seen,selected,slept with,styled,used,used,used,visited,visited,visited,worked for in the past,0,0
-,-,272,2,short.low,3,3,68,short,low,b,75,a,The manicurist,guessed,which,millionaire,the,hairdresser,,had,used,for the event.,0,0,32,as a client ,attended too,bamboozled,been employed with,been with,chosen,dated,dated,done,groomed on a regular basis,had intimate relations with,helped,hired,known,liked,manicured,scalped,seen,seen at the party,serviced,serviced yesterday,shampooed,shaved,styled,styled,styled,treated,treated,worked for,worked for,worked for,worked for 
-,-,269,3,long.high,3,1,68,long,high,g,75,b,The manicurist,guessed,which,hairdresser,the,millionaire,from southern California,had,used,for the event.,6,0.193548387,31,as their own,been to,been to,fired,frequented,gone to,gone to,gone to,gone to see,hired,hired,hired,hired,hired,hired for the event,liked the least,made an appointment with,married,paid,picked,received a haircut from,requested,used,used,used,used,used,used,visited,visited,visited,#REF!
-,-,270,4,long.low,3,2,68,long,low,b,75,a,The manicurist,guessed,which,millionaire,the,hairdresser,from southern California,had,used,for the event.,1,0.032258065,31,as a client,as a client,coiffed,cut their hair,groomed,known,married,married,married,married,married,met,offended,quit,recommended,served,serviced,serviced,spoken with,styled,styled,syled,used,visited,worked for,worked for,worked for,worked for,worked for,worked on,worked on,#REF!
-,-,275,1,short.high,4,2,69,short,high,g,77,a,The old sailor,recounted,which,monkey,the,pirate,,had,owned,on his ship.,2,0.0625,32,as a pet ,befriended,befriended,befriended,captured,eaten,encountered,grown to love,hated,kept,kept,killed,killed,on his ship,owned,owned,picked,picked up,played with,saved,seen,stole,stolen,stolen,stolen,stolen,stolen,taken hostage,tamed,thrown off the ship,trained,trained
-,-,276,2,short.low,4,1,69,short,low,b,77,b,The old sailor,recounted,which,pirate,the,monkey,,had,owned,on his ship.,0,0,30,a great bond with,as a master,attacked,attacked,attacked,been on,been owned by,belonged to,belonged to,bit,bit,bit,biten,bitten,bitten,bitten,bitten,bitten,bitten,bitten,jumped on,killed,liked,mauled,peed on,robbed,sailed with,shat on,sold,spit on,0,0
-,-,273,3,long.high,4,3,69,long,high,g,77,a,The old sailor,recounted,which,monkey,the,pirate,on the ship,had,owned,on his ship.,3,0.096774194,31,adopted,adopted,as a pet,attacked,attacked,bought,captured,chased,eaten,eaten,escaped,fed,hurt,kept,kept,kept as a pet,kept as a pet,killed,killed,mimicked,murdered,owned,owned,owned,purchased,taken,thrown overboard,trained,trained,trained,trapped,#REF!
-,-,274,4,long.low,4,4,69,long,low,b,77,b,The old sailor,recounted,which,pirate,the,monkey,on the ship,had,owned,on his ship.,0,0,31,adventured with,attacked,bamboozled,been owned by ,been with,belonged to,belonged to,bitten,bitten,bitten,bitten,bitten,bonked over the head,danced with,eaten,escaped,hated,hit,licked,liked the most,loved,loved,pooped on,pooped on,pooped on,preferred,scratched,scratched ,stolen a hat from,taken a liking to,thrown poo at,#REF!
-,-,279,1,short.high,5,3,70,short,high,g,77,b,The old sailor,recounted,which,pirate,the,monkey,,had,bitten,with his teeth.,11,0.366666667,30,a great bond with,as a master,attacked,attacked,attacked,been on,been owned by,belonged to,belonged to,bit,bit,bit,biten,bitten,bitten,bitten,bitten,bitten,bitten,bitten,jumped on,killed,liked,mauled,peed on,robbed,sailed with,shat on,sold,spit on,0,0
-,-,280,2,short.low,5,4,70,short,low,b,77,a,The old sailor,recounted,which,monkey,the,pirate,,had,bitten,with his teeth.,0,0,32,as a pet ,befriended,befriended,befriended,captured,eaten,encountered,grown to love,hated,kept,kept,killed,killed,on his ship,owned,owned,picked,picked up,played with,saved,seen,stole,stolen,stolen,stolen,stolen,stolen,taken hostage,tamed,thrown off the ship,trained,trained
-,-,277,3,long.high,5,2,70,long,high,g,77,b,The old sailor,recounted,which,pirate,the,monkey,on the ship,had,bitten,with his teeth.,5,0.161290323,31,adventured with,attacked,bamboozled,been owned by ,been with,belonged to,belonged to,bitten,bitten,bitten,bitten,bitten,bonked over the head,danced with,eaten,escaped,hated,hit,licked,liked the most,loved,loved,pooped on,pooped on,pooped on,preferred,scratched,scratched ,stolen a hat from,taken a liking to,thrown poo at,#REF!
-,-,278,4,long.low,5,1,70,long,low,b,77,a,The old sailor,recounted,which,monkey,the,pirate,on the ship,had,bitten,with his teeth.,0,0,31,adopted,adopted,as a pet,attacked,attacked,bought,captured,chased,eaten,eaten,escaped,fed,hurt,kept,kept,kept as a pet,kept as a pet,killed,killed,mimicked,murdered,owned,owned,owned,purchased,taken,thrown overboard,trained,trained,trained,trapped,#REF!
-,-,281,1,short.high,1,2,71,short,high,g,78,a,The personal assistant,revealed,which,senator,the,chauffeur,,had,driven,to the meeting.,12,0.4,30,a bond with,been driving,blown,corrupt deals with,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven home,driven to the party,drove,guided to the door,hit,kidnapped,kissed,lied,liked,paid,picked,picked up,serviced,spoken with,0,0
-,-,282,2,short.low,1,1,71,short,low,b,78,b,The personal assistant,revealed,which,chauffeur,the,senator,,had,driven,to the meeting.,0,0,32,bribed,chastized,chosen,chosen,driven around,driven with,driving ,fired,fired,fired,hired,hired,hired,hired,hired,hired to drive to the airport,met,ordered,paid,requested,requested,taken to the party,tipped,tipped,used,used,used,used,used,used previously,used to getaway,went with
-,-,283,3,long.high,1,4,71,long,high,g,78,a,The personal assistant,revealed,which,senator,the,chauffeur,in a suit,had,driven,to the meeting.,12,0.387096774,31,an affair with,assisted,assoicated with,been blackmailed,been involved with,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven home,driven to a meeting,drove,drove around,hit,paid off,paid off,picked up,relations with,shot,transported ,worked for,worked for,worked with him,#REF!
-,-,284,4,long.low,1,3,71,long,low,b,78,b,The personal assistant,revealed,which,chauffeur,the,senator,in a suit,had,driven,to the meeting.,1,0.032258065,31,appointments,been driven by,chosen,chosen,chosen,driven,fired,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,opened the door for,payed,requested,requested,requested,ridden with,ridden with,spoken to,tipped,traveled with,used,used,yelled at,yelled at,#REF!
-,-,287,1,short.high,2,4,72,short,high,g,78,b,The personal assistant,revealed,which,chauffeur,the,senator,,had,fired,for being incompetent.,3,0.09375,32,bribed,chastized,chosen,chosen,driven around,driven with,driving ,fired,fired,fired,hired,hired,hired,hired,hired,hired to drive to the airport,met,ordered,paid,requested,requested,taken to the party,tipped,tipped,used,used,used,used,used,used previously,used to getaway,went with
-,-,288,2,short.low,2,3,72,short,low,b,78,a,The personal assistant,revealed,which,senator,the,chauffeur,,had,fired,for being incompetent.,0,0,30,a bond with,been driving,blown,corrupt deals with,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven home,driven to the party,drove,guided to the door,hit,kidnapped,kissed,lied,liked,paid,picked,picked up,serviced,spoken with,0,0
-,-,285,3,long.high,2,2,72,long,high,g,78,b,The personal assistant,revealed,which,chauffeur,the,senator,in a suit,had,fired,for being incompetent.,3,0.096774194,31,appointments,been driven by,chosen,chosen,chosen,driven,fired,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,opened the door for,payed,requested,requested,requested,ridden with,ridden with,spoken to,tipped,traveled with,used,used,yelled at,yelled at,#REF!
-,-,286,4,long.low,2,1,72,long,low,b,78,a,The personal assistant,revealed,which,senator,the,chauffeur,in a suit,had,fired,for being incompetent.,0,0,31,an affair with,assisted,assoicated with,been blackmailed,been involved with,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven,driven home,driven to a meeting,drove,drove around,hit,paid off,paid off,picked up,relations with,shot,transported ,worked for,worked for,worked with him,#REF!
-,-,289,1,short.high,3,1,73,short,high,g,79,a,The physical therapist,marked,which,gymnist,the,nutritionist,,had,advised,before the competition.,3,0.09375,32,advised,advised,advised,already examined,already weighed,assisted,cared for,concerns about,concerns about ,consulted with,contacted,fed,followed,given addvice ,greeted,helped,helped,hurt,indicated,met with,picked,put on a diet,recommended,recommended,seen,seen,spoken to,talked to,treated,treated,worked for,worked with
-,-,290,2,short.low,3,2,73,short,low,b,79,b,The physical therapist,marked,which,nutritionist,the,gymnist,,had,advised,before the competition.,0,0,30,been using,been working with,chosen,consulted,consulted,consulted,consulted,consulted,dated,denied,employed,gone to for advice,gone to see,hired,met,picked,recommended,referred,seen,seen,seen,taken advice from,talked to,used,used,used,used,violated,visited,wanted to look at,0,0
-,-,291,3,long.high,3,3,73,long,high,g,79,a,The physical therapist,marked,which,gymnist,the,nutritionist,with short hair,had,advised,before the competition.,6,0.193548387,31,advised,advised,advised,advised,advised,advised,cautioned,conversed with,counseled,dated,developed a menu for,discussed meals with,fed,given info to,helped,helped,helped,helped,instructed,met with,picked,seen,seen,sexed up,spoken with,supplied for,talked with,treated,worked on,worked with,worked with,#REF!
-,-,292,4,long.low,3,4,73,long,low,b,79,b,The physical therapist,marked,which,nutritionist,the,gymnist,with short hair,had,advised,before the competition.,0,0,31,an attraction to,an opening,been advised by,been seen by,been to,been to,befriended,consulted,consulted,consulted,consulted,consulted with,fired,hired,hired,hired,hired,met with,on file,seen,seen,seen,seen,talked with,to visit,used,visited,visited,went to,with a marker,worked with,#REF!
-,-,295,1,short.high,4,3,74,short,high,g,79,b,The physical therapist,marked,which,nutritionist,the,gymnist,,had,consulted,before the meet.,5,0.166666667,30,been using,been working with,chosen,consulted,consulted,consulted,consulted,consulted,dated,denied,employed,gone to for advice,gone to see,hired,met,picked,recommended,referred,seen,seen,seen,taken advice from,talked to,used,used,used,used,violated,visited,wanted to look at,0,0
-,-,296,2,short.low,4,4,74,short,low,b,79,a,The physical therapist,marked,which,gymnist,the,nutritionist,,had,consulted,before the meet.,1,0.03125,32,advised,advised,advised,already examined,already weighed,assisted,cared for,concerns about,concerns about ,consulted with,contacted,fed,followed,given addvice ,greeted,helped,helped,hurt,indicated,met with,picked,put on a diet,recommended,recommended,seen,seen,spoken to,talked to,treated,treated,worked for,worked with
-,-,293,3,long.high,4,1,74,long,high,g,79,b,The physical therapist,marked,which,nutritionist,the,gymnist,with short hair,had,consulted,before the meet.,4,0.129032258,31,an attraction to,an opening,been advised by,been seen by,been to,been to,befriended,consulted,consulted,consulted,consulted,consulted with,fired,hired,hired,hired,hired,met with,on file,seen,seen,seen,seen,talked with,to visit,used,visited,visited,went to,with a marker,worked with,#REF!
-,-,294,4,long.low,4,2,74,long,low,b,79,a,The physical therapist,marked,which,gymnist,the,nutritionist,with short hair,had,consulted,before the meet.,0,0,31,advised,advised,advised,advised,advised,advised,cautioned,conversed with,counseled,dated,developed a menu for,discussed meals with,fed,given info to,helped,helped,helped,helped,instructed,met with,picked,seen,seen,sexed up,spoken with,supplied for,talked with,treated,worked on,worked with,worked with,#REF!
-,-,299,1,short.high,5,1,75,short,high,g,80,a,The plumber,guessed,which,architect,the,homeowner,,had,hired,for the job.,12,0.4,30,bought,built,choosen,chosen,claims with,contracted,contracted,employed,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired to build his home,picked,picked,used,used,used,used,used,used,0,0
-,-,300,2,short.low,5,2,75,short,low,b,80,b,The plumber,guessed,which,homeowner,the,architect,,had,hired,for the job.,0,0,32,as a client,assisted,billed,called,chosen,collaborated with,consulted,contact,created a house for,designed for,designed for,designed for,developed,disliked,disliked,done work for in the past,gone with,helped,helped,in mind when designing ,known,met,referred to,screwed over,selected,spoken to,spoken to in the yard,surveyed,used,visited,visited,worked for
-,-,297,3,long.high,5,4,75,long,high,g,80,a,The plumber,guessed,which,architect,the,homeowner,on the phone,had,hired,for the job.,9,0.290322581,31,called,called,called before,consulted,consulted,contacted,contacted,contacted,contracted,done business with,employed,hired,hired,hired,hired,hired,hired,hired,hired,hired,spoke,spoken,spoken to,spoken to,used,used,used,used for the job,worked with,worked with,yelled at,#REF!
-,-,298,4,long.low,5,3,75,long,low,b,80,b,The plumber,guessed,which,homeowner,the,architect,on the phone,had,hired,for the job.,0,0,31,annoyed,appraised,been speaking to,built a house for,called,conned,contacted,cursed at,given his number to,helped,helped,helped,laughed at,meant,specified,spoke to,spoken,spoken to,spoken to,spoken with,spoken with,spoken with,talked to,trouble with,worked for,worked for,worked for,worked for,worked for,worked for,worked for,#REF!
-,-,303,1,short.high,1,4,76,short,high,g,80,b,The plumber,guessed,which,homeowner,the,architect,,had,helped,with his advice.,2,0.0625,32,as a client,assisted,billed,called,chosen,collaborated with,consulted,contact,created a house for,designed for,designed for,designed for,developed,disliked,disliked,done work for in the past,gone with,helped,helped,in mind when designing ,known,met,referred to,screwed over,selected,spoken to,spoken to in the yard,surveyed,used,visited,visited,worked for
-,-,304,2,short.low,1,3,76,short,low,b,80,a,The plumber,guessed,which,architect,the,homeowner,,had,helped,with his advice.,0,0,30,bought,built,choosen,chosen,claims with,contracted,contracted,employed,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired to build his home,picked,picked,used,used,used,used,used,used,0,0
-,-,301,3,long.high,1,1,76,long,high,g,80,b,The plumber,guessed,which,homeowner,the,architect,on the phone,had,helped,with his advice.,3,0.096774194,31,annoyed,appraised,been speaking to,built a house for,called,conned,contacted,cursed at,given his number to,helped,helped,helped,laughed at,meant,specified,spoke to,spoken,spoken to,spoken to,spoken with,spoken with,spoken with,talked to,trouble with,worked for,worked for,worked for,worked for,worked for,worked for,worked for,#REF!
-,-,302,4,long.low,1,2,76,long,low,b,80,a,The plumber,guessed,which,architect,the,homeowner,on the phone,had,helped,with his advice.,0,0,31,called,called,called before,consulted,consulted,contacted,contacted,contacted,contracted,done business with,employed,hired,hired,hired,hired,hired,hired,hired,hired,hired,spoke,spoken,spoken to,spoken to,used,used,used,used for the job,worked with,worked with,yelled at,#REF!
-,-,307,1,short.high,2,2,77,short,high,g,82,a,The secretary,recalled,which,intern,the,manager,,had,fired,for being late.,10,0.333333333,30,chosen,disliked,employed,fired,fired,fired,fired,fired,fired,fired,fired,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired permanently,let go,picked,praised,promoted,recommended ,relations with,supervised,0,0
-,-,308,2,short.low,2,1,77,short,low,b,82,b,The secretary,recalled,which,manager,the,intern,,had,fired,for being late.,0,0,32,accused,an affair with,angered,asked,assisted,assisted,assisted,been fired by,bumped,called,courted,disciplined,flirted with,helped,insulted,interviewed with,interviewed with. ,irritated,met,provided,recommended,scolded,seen,trained under,worked for,worked for,worked for,worked for,worked for,worked under,worked with,worked with
-,-,305,3,long.high,2,3,77,long,high,g,82,a,The secretary,recalled,which,intern,the,manager,with thick glasses,had,fired,for being late.,6,0.193548387,31,an affair with,an altercation with,asked for,assaulted,eyed,fired,fired,fired,fired,fired,fired,groped,hired,hired,hired,hired,hired,hired,hired,impressed,promoted,punched,quit recently,reprimanded,seen,slept with,slept with,spoken,spoken with,spoken with,yelled at,#REF!
-,-,306,4,long.low,2,4,77,long,low,b,82,b,The secretary,recalled,which,manager,the,intern,with thick glasses,had,fired,for being late.,0,0,31,annoyed,been,been fired by,briefed,called,complained about,complained about,contacted,enticed,helped,impressed,impressed,insulted,interviewed with,kissed,lied,liked,made angry,met,met with,panicked,slept with,spoken to,talked to,tried to impress,upset,worked for,worked for,worked for,worked for,worked under,#REF!
-,-,311,1,short.high,3,3,78,short,high,g,82,b,The secretary,recalled,which,manager,the,intern,,had,worked,for the previous month.,8,0.25,32,accused,an affair with,angered,asked,assisted,assisted,assisted,been fired by,bumped,called,courted,disciplined,flirted with,helped,insulted,interviewed with,interviewed with. ,irritated,met,provided,recommended,scolded,seen,trained under,worked for,worked for,worked for,worked for,worked for,worked under,worked with,worked with
-,-,312,2,short.low,3,4,78,short,low,b,82,a,The secretary,recalled,which,intern,the,manager,,had,worked,for the previous month.,0,0,30,chosen,disliked,employed,fired,fired,fired,fired,fired,fired,fired,fired,fired,fired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired permanently,let go,picked,praised,promoted,recommended ,relations with,supervised,0,0
-,-,309,3,long.high,3,2,78,long,high,g,82,b,The secretary,recalled,which,manager,the,intern,with thick glasses,had,worked,for the previous month.,4,0.129032258,31,annoyed,been,been fired by,briefed,called,complained about,complained about,contacted,enticed,helped,impressed,impressed,insulted,interviewed with,kissed,lied,liked,made angry,met,met with,panicked,slept with,spoken to,talked to,tried to impress,upset,worked for,worked for,worked for,worked for,worked under,#REF!
-,-,310,4,long.low,3,1,78,long,low,b,82,a,The secretary,recalled,which,intern,the,manager,with thick glasses,had,worked,for the previous month.,0,0,31,an affair with,an altercation with,asked for,assaulted,eyed,fired,fired,fired,fired,fired,fired,groped,hired,hired,hired,hired,hired,hired,hired,impressed,promoted,punched,quit recently,reprimanded,seen,slept with,slept with,spoken,spoken with,spoken with,yelled at,#REF!
