mturk,List,Condition,Pair.old,itemcode,Pair,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,good.bad,Target.Freq.Max,Target.Prop,Target.Freq,Notes,Best,Best.Freq,Best.Prop,Second,Second.Freq,Second.Prop,Third,Third.Freq,Third.Prop,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Notes.Colin,Notes.orig,good.if.reversed,Target.Freq.Exact.Spelling.And.Form
1,1,g,56,,14,the historian,recorded,which,traitor,the,king,had,knighted,at the ceremony.,b,10,0,0,,beheaded,8,0.266666667,executed,6,0.2,imprisoned,3,0.1,beheaded,imprisoned,imprisoned,married,pardoned,killed,beheaded,killed,met,executed,beheaded,sentenced to death,executed,executed,beheaded,executed ,groped,beheaded,executed,beheaded,been succeded by,beheaded,assasinated,beheaded.,tea with,put to death,executed,imprisoned,in his life,killed,,,n,0
1,4,g,62,,15,the monk,recalled,which,sinner,the,priest,had,forgiven,in church yesterday.,g,10,0.333333333,10,,forgiven,10,0.333333333,absolved,4,0.133333333,blessed,4,0.133333333,bestowed,absolved,paid to lie to the police officer,bullied,forgiven,cleansed,forgiven,blessed that day,pardoned,absolved,exorcised,blessed,forgiven,forgiven,prayed for,absolved,listened to,counselled,absolved,forgiven,talked with,blessed,forgiven,heard confession from,blessed,counseled,forgiven,forgiven,forgiven,forgiven,good,,n,10
1,3,g,62,,15,the monk,recalled,which,cardinal,the,priest,had,forgiven,in church yesterday.,b,10,0,0,,studied,3,0.1,chosen,2,0.066666667,spoken,2,0.066666667,said would speak at the church next week,admired,gone to seminary with,worked with,studied under,kissed,released,studied with long ago,met,studied under,prayed with,served,spoke to,spoken,talked with,seen,hidden,been blessed by,contacted,spoken to,shot,appointed,slapped,blessed,praised,chosen,chosen,ordained,Hit,grew up with,,,n,0
1,4,g,78,,16,the scientist,noted,which,antelope,the,lion,had,eaten,for his dinner.,g,10,0.333333333,10,,eaten,10,0.333333333,killed,5,0.166666667,caught,3,0.1,eaten,caught,eaten,targeted,eaten,killed,craved,chosen to pursue,been eating,slaughtered,hunted,caught,hunted,captured,attacked,eaten,eaten,caught,killed.,devoured,eaten for lunch,eaten,eaten,killed,chosen to ignore,eaten,culled,killed,killed,eaten,good,,n,10
1,3,g,78,,16,the scientist,noted,which,cub,the,lion,had,eaten,for his dinner.,b,10,0,0,,birthed,3,0.1,reared,3,0.1,fed,2,0.066666667,swatted with his large paw,abandoned,preferred,first.,given birth to,killed,reared,selected from the pride,birthed,left behind,flocked to,birthed,bore ,reared,protected,cleaned,nursed,reared,killed,raised,fought,rejected,fed,rejected,belonged to,protected,birthed,fed,Parented,cared for the most,"or ""reared"", or flip and use ""eaten""","or ""reared"", or flip and use ""eaten""",n,0
1,2,g,84,,17,the secretary,confirmed,which,illustrator,the,author,had,hired,for the new book.,g,10,0.333333333,10,,hired,10,0.357142857,chosen,8,0.285714286,admired,1,0.035714286,chosen,recommended,hired to work on his novel,published,chosen,chosen,hired,hired,chosen,hired,hired,quoted,chosen,chosen to illustrate his book,hired,talked to,selected.,admired,hired,chose for his new book,chosen to illustrate his books,hired,chosen,hired.,hired,not payed,used.,contacted,asked to work on his book,chosen,good,,n,10
1,1,g,84,,17,the secretary,confirmed,which,readers,the,author,had,hired,for the new book.,b,10,0,0,,signed,6,0.2,written,4,0.133333333,answered,2,0.066666667,requested,thanked,selected,chose,signed books for,been read by,engaged,made upset,answered,liked,read,signed books for.,signed books for,chosen,signed books for,written,embalmed,written to,signed books for,written to,written to,enjoyed,answered,consulted.,signed the books for,met,meant,met with,spoken to,liked,,,n,0
1,4,g,92,,18,the stenographer,recorded,which,defendant,the,judge,had,sentenced,to fifteen years.,g,10,0.333333333,10,sentenced(9) + sentanced(1),sentenced,9,0.3,given,3,0.1,spoken,2,0.066666667,been referring to,sentenced,spoken to,believed,spoken to,harrassed,sentenced,given a lengthy sentence to,sentenced yesterday,referred to,condemned,indicated,sentenced,rideculed,given a life sentence to,sentanced,sentenced,ruled against,questioned,instructed,called to the stand,sentenced,said was guilty,pity for,given mercy,sentenced,sentenced,scolded,sentenced,released,good,,n,9
1,3,g,92,,18,the stenographer,recorded,which,lawyer,the,judge,had,sentenced,to fifteen years.,b,10,0,0,,reprimanded,4,0.133333333,admonished,2,0.066666667,acknowledged,1,0.033333333,reprimanded for contempt,scolded,admonished,overruled,chosen,warned,acknowledged,impeached,reprimanded,held in contempt,ridiculed,spoken to,dismissed,reprimanded,sided with,insulted,repramanded,censored,disbarred,reprimanded,spoke with,talked to,raped,fined,slighted,appointed,speak,over ruled,Chose,admonished,,,n,0
2,2,g,27,8,19,Spencer,guessed,which,agent,the,actress,had,hired,to promote her career.,g,9,0.3,9,,hired,9,0.3,used,5,0.166666667,fired,2,0.066666667,hired,romanced,slapped,used,by looks alone,used,wanted,signed with,fired,hired,used,been talking to,hired,hired,seduced,hired.,worked for,hired,used,fired,hired,hired,been managed by,hired,used,chosen,consulted,adored,landed,hoped would call her,,,n,9
2,1,g,27,8,19,Spencer,guessed,which,admirer,the,actress,had,hired,to promote her career.,b,9,0,0,,loved,2,0.066666667,kissed,2,0.066666667,dated,2,0.066666667,tweeted to,worshiped,met,waved at,liked,flirted with,called the police about,come across,portrayed,been happy to see.,yesterday,gotten flowers from.,engaged,dated.,kissed,favored,dated,banged,wanted to see after the premiere,courted,fled from,spurned,loved,picked,been sleeping with,talked to,kissed,banged,loved,given her autograph to,,,n,0
2,2,g,47,12,20,the editor,listed,which,orphans,the,philanthropist,had,adopted,from the faraway place.,g,9,0.3,9,,adopted,9,0.3,helped,8,0.266666667,sponsored,2,0.066666667,helped,helped,adopted,wanted,access to adopt,helped,adopted,assisted,helped,adopted,adopted,studied,adopted,sponsored,saved,adopted.,adopted,saved,donated to,adopted,assisted,helped,given a home to,adopted,sponsored,helped,supported,helped,helped,talked about,,,n,9
2,1,g,47,12,20,the editor,listed,which,volunteers,the,philanthropist,had,adopted,from the faraway place.,b,9,0,0,,used,2,0.066666667,honored,2,0.066666667,helped,2,0.066666667,called upon,used,rewarded,met with,chosen,spoken with,awarded,signed up,praised,decided to reward.,helped,enlisted.,interned,affiliated with.,mentored,engaged,talked with,seduced,honored at the dinner,paid,donated to,sponsored,honored,helped,scammed,thanked,used,payed,remembered,given awards to,,,n,0
1,4,g,51,,21,the farmer,remembered,which,pig,the,butcher,had,slaughtered,in his kitchen.,g,9,0.3,9,slaughtered(8) + slaughter(1),slaughtered,8,0.266666667,killed,4,0.133333333,picked,2,0.066666667,slaughter,slaughtered,slaughtered,selected,killed and butchered,praised,slaughtered,used to make bacon,prepared for the party,spared,eaten,purchased,slaughtered,wanted,slain,killed,saved,picked out,sold,slaughtered,decided to make pork chops with,slaughtered,slaughtered,picked,chosen,taken to the slaughterhouse,saved,killed,slaughtered,killed,"yes, the combination of nouns is good; but the noting of a specific unfortunate pig seems less plausible; could be rescued with a completion",,n,8
1,3,g,51,,21,the farmer,remembered,which,vegetarian,the,butcher,had,slaughtered,in his kitchen.,b,9,0,0,,offended,4,0.133333333,insulted,3,0.1,laughed,2,0.066666667,accused of ruining his business,avoided,teased,insulted,helped,taunted,serviced,not sold meat to,scolded,offended,offended,offended,fired,fought,banned from the shop,insulted,recommended ,an argument with,laughed at,offended,beat up,screamed at,punched,argued with,met,goes well with meat,laughed at,berated,Insulted,sold food to,,,n,0
2,1,g,221,39,22,The homeowner,asked,which,insects,the,exterminator,had,killed,when he came over.,g,9,0.3,9,"or flip and use ""recommended"", or use ""exterminated""",killed,9,0.3,found,5,0.166666667,exterminated,5,0.166666667,found in the basement,killed,killed,killed,killed,killed,missed,exterminated,exterminated,seen on their property.,killed,sprayed for.,sprayed,found.,found,exterminated,found,exterminated ,eradicated,poisoned,killed,discovered,poisoned,killed,killed,sprayed for,exterminated,found,poisoned,discovered in the house,,,n,9
2,2,g,221,39,22,The homeowner,asked,which,plumber,the,exterminator,had,killed,when he came over.,b,9,0,0,,recommended,15,0.5,used,3,0.1,hired,2,0.066666667,recommended,hired,critisized,recommended,recommended,reccomended,recommended,recommended,recommended,referred,called,recommended,recommended,recommended,used,reffered.,in mind,seen,recommended,recommended,hired,recommended,recommended,recommended ,found,used,consulted ,used,recommended,worked with,,,n,0
1,2,g,33,,23,the barkeeper,knew,which,barmaids,the,regulars,had,tipped,for their drinks.,g,8,0.266666667,8,,tipped,7,0.25,liked,4,0.142857143,had,2,0.071428571,liked most,seen,flirted with,tipped,seen,laid,tipped,liked,had relations with,come to like,made fun of her hair,often groped,tipped,taken a liking to,tipped well,talked to,enjoyed.,tipped,loved,frequented,given the most tips to,tipped,liked,asked for.,tipped,had the hots for,loved,liked,propositioned,tipped,good,,n,8
1,1,g,33,,23,the barkeeper,knew,which,troublemakers,the,regulars,had,tipped,for their drinks.,b,8,0,0,,been,5,0.166666667,fought,4,0.133333333,seen,2,0.066666667,complained about,seen enter the bar,been,been warned about,kicked out,been,been,beaten up,fought,pointed out,seen,an altercation with,beat up,thrown out,fought,despised ,trouble with,argued with,a problem with,mentioned,spotted,made,reported,fought with.,arguments with,previous encounters with,talked about,learned to avoid,been ,fought with,,,n,0
2,2,g,222,42,24,The ethnographer,asked,which,deer,the,Indians,had,hunted,with bows and arrows.,g,8,0.266666667,8,,hunted,8,0.266666667,eaten,6,0.2,skinned,3,0.1,skinned,eaten,hunted,seen,skinned ,hunted,respected,preferred to hunt,eaten,worshipped,eaten,eaten,hunted,shot,eaten,hunted.,worshiped,killed,hunted,seen,tracked,worshipped,skinned for clothing,hunted,eaten,painted,hunted,killed,hunted,named,,,n,8
2,1,g,222,42,24,The ethnographer,asked,which,babies,the,Indians,had,hunted,with bows and arrows.,b,8,0,0,,stolen,4,0.133333333,given,3,0.1,raised,2,0.066666667,stolen,eaten,raised,selected,imitated,stolen,been hoping for,carried,chosen,given the goat's milk,had,sacrificed.,birthed,favored.,named,blessed,murdered,kidnaped,fathered,delivered,fed milk to,stolen,curly hair.,named,seen,adopted,stolen,raised,given up,given ceromonies for,,,n,0
2,2,g,55,14,25,the historian,knew,which,princess,the,king,had,married,at the royal palace.,g,8,0.266666667,8,,married,8,0.266666667,favored,3,0.1,fathered,3,0.1,fathered,saved,fathered,married,thing for,chosen,favored,chosen to wed,saved,married,fathered,kidnapped,produced,sired,married,imprisoned.,married,wed,chosen,married,married off,had killed,raised,favored,married,loved,married,adored,wed,favored,,,n,8
2,1,g,55,14,25,the historian,knew,which,prince,the,king,had,married,at the royal palace.,b,8,0,0,,knighted,4,0.133333333,killed,4,0.133333333,sired,3,0.1,killed,killed,rewarded,sired,been,murdered,put to death,beheaded,preferred,chosen.,loved,knighted.,favored,executed.,knighted,knighted,picked,sired ,reluctantly sent into battle,sired,poisoned,preferred,selected as heir,elevated,knighted,fathered,executed,killed,killed,chosen as his heir,,,n,0
1,1,g,59,,26,the journalist,reported,which,opponent,the,politician,had,defeated,by a wide margin.,g,8,0.266666667,8,"defeared = defeated, so defeated is cloze 8",defeated,7,0.233333333,beaten,5,0.166666667,criticized,2,0.066666667,debated,defeated,opposed,been going against,beaten,defeared,defeated,beaten,beaten,slandered,assassinated,defeated,defeated,criticized,beaten,lied about,engulfed,criticized,defeated,struck,debated,sneered,beaten,libeled.,to compete with,defeated,defeated,silenced,lost to,bribed,good,,n,7
1,2,g,59,,26,the journalist,reported,which,voters,the,politician,had,defeated,by a wide margin.,b,8,0,0,,bribed,3,0.107142857,bought,2,0.071428571,swayed,2,0.071428571,alienated,aroused,bribed for votes,gained,targeted,catered to,bribed,bribed,purchased,shaken hands with,made angry,accepted donations from,targeted,reached,already converted,thrown out,won over.,courted,sought,effect on,given pamphlets to,swayed,bought,acquired.,bought,swayed,met.,wooed,gone to see,contacted,,,n,0
2,1,g,223,41,27,The parent,noticed,which,insects,the,child,had,collected,in a jar.,g,8,0.266666667,8,,collected,8,0.266666667,eaten,5,0.166666667,squashed,2,0.066666667,gotten bit by,caught,collected,squashed,squashed,brought home,collected,collected,eaten,a deep fascination for.,collected,closely observed. ,collected,touched.,collected,grabbed,saved,noticed,been fascinated with,collected,caught,eaten,put in a jar,eaten,seen at the zoo,trapped,eaten,eaten,in his room,collected for his school project,,,n,8
2,2,g,223,41,27,The parent,noticed,which,teacher,the,child,had,collected,in a jar.,b,8,0,0,,liked,4,0.133333333,disliked,4,0.133333333,preferred,2,0.066666667,preferred,previously,struck,liked,told them about,fucked,disliked,picked,disliked,adored,arrested,talked about,disliked,preferred,taught,spoken of.,mentioned,last year,disliked,reported,liked,hugged,liked,gotten,liked,listened to,hated,hated,recieved,learned the most from,,,n,0
1,3,g,81,,28,the scribe,recorded,which,loyalists,the,monarch,had,rewarded,for their actions.,g,8,0.266666667,8,,rewarded,8,0.266666667,appointed,2,0.066666667,chosen,2,0.066666667,invited to the castle,rewarded,offended,appointed,rewarded,rewarded,chosen,opposed,gathered,rewarded,defended,appointed,supported,declared,betrayed,behind him,noted,knighted,rewarded,rewarded,chosen,watched,with him,favored,spoken highly of,discovered,praised,rewarded,Killed,rewarded,good,,n,8
1,4,g,81,,28,the scribe,recorded,which,rebels,the,monarch,had,rewarded,for their actions.,b,8,0,0,,executed,6,0.2,banished,2,0.066666667,eliminated,2,0.066666667,yelled of,executed,banished from the kingdom,imprisoned,beheaded,jailed,killed,eliminated,been fighting with for years,spoken of,ousted,put to death,chosen,put to death,thrown away for treason,warred,eliminated,executed,executed,imprisoned,sentenced,slain,marked for death,rescued from punishment,banished from the land,executed,executed,executed,conquered,sentenced,,,n,0
1,2,g,96,,29,the teacher,remembered,which,delinquent,the,principal,had,suspended,for a week.,g,8,0.266666667,8,grammatically ambiguous,suspended,8,0.285714286,punished,7,0.25,disciplined,2,0.071428571,suspended,scolded,put into detention yesterday,punished,punished,punished,expelled,put in detention,yelled at,disciplined,suspended,suspended,punished,suspended,spanked,sent away,mentioned.,punished,punished,suspended,suspended,punished,suspended,scolded.,expelled,identified to her,disciplined,suspended,given a detention,reprimanded,good,,n,8
1,1,g,96,,29,the teacher,remembered,which,overacheiver,the,principal,had,suspended,for a week.,b,8,0,0,,praised,9,0.3,awarded,3,0.1,liked,2,0.066666667,awarded,commended,rewarded,requested to see,favored,awarded,liked,praised,praised,rewarded,preferred,pointed out,mentioned,praised,awarded,praised highly,acheived,honored,praised,praised,praised,praised,overlooked,lauded.,talked to,recognized,praised,given an award to,reconized,liked,,,n,0
1,1,g,23,,30,Sally,heard,which,patient,the,doctor,had,treated,first thing this morning.,g,7,0.233333333,7,,treated,7,0.233333333,seen,6,0.2,cured,3,0.1,examined,treated,healed,talked to,cured,seen,seen,attended to,seen,poisoned,seen,given the results to,treated,healed,injected,given a shot to,mounted,treated,cured,seen,seen,cured,visited,scheduled for surgery.,treated,treated,treated,treated,been talking to,helped,good,,n,7
1,2,g,23,,30,Sally,heard,which,nurse,the,doctor,had,treated,first thing this morning.,b,7,0,0,,fired,4,0.142857143,hired,3,0.107142857,dated,2,0.071428571,hired,hired,dated in the past,trained,chosen,fucked,congratulated,diddled,goosed,argued with,scolded at,married,accused,fired,fired,blackmailed,relations with.,trained,fired,assist him in surgery with,given the prescription to,consulted,dated,hired.,married,rated poorly,seen.,fired,asked to help him,called,,,n,0
