condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,Target.Freq,Target.Prob,Nresponses,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Response31,Response32,Response33,Response34
2,old.low,4,3,4,old,low,b,2,a,The general,heard,which,terrorist,the,corporal,had,promoted,in the army.,0,0,30,arrested,arrested ,captured,captured,captured,captured,discovered,executed,executed ,executed. ,fought,found,identified,in custody,in custody,interogated,interogated,interrogated,interrogated,killed,killed,killed,killed,killed,seen,shot,spanked,taken into custody,tortured,tortured,,,,
3,new.high,4,2,4,new,high,g,2,d,The terrorist,heard,which,comrade,the,corporal,had,promoted,in the army.,2,0.0625,32,accused,arrested,assassinated,awarded,called,commended,confided in,confronted,executed,executed,exposed,fired,helped,imprisoned,killed,killed,killed,killed,killed,killed,murdered,praised,promoted,promoted,punished,seen,shot,shot,slain,taken into custody,wanted,with him,,
4,new.low,4,1,4,new,low,b,2,c,The comrade,heard,which,terrorist,the,corporal,had,promoted,in the army.,0,0,30,alerted,apprehended,apprehended ,been bribed by,been scoping out,betrayed,blown up,captured,captured,captured,captured,captured,caught,execute,executed,executed,exiled,faught,killed,killed,killed,pointed out,released,shot,shot,tortured,tortured,tortured ,tracked down,wanted,,,,
1,old.high,5,2,5,old,high,g,4,a,The vice principal,saw,which,rascal,the,teacher,had,punished,with a detention note.,9,0.3,30,admired,applauded ,apprehended,caught,disciplined ,dismissed,faught,given detention to,punished,punished,punished,punished,punished,punished,punished,punished,punished,reported as a troublemaker,reprimanded,reprimanded,reprimanded,scolded,scolded,scolded,scolded,scorned,sent to detention,set out in the hall,sitting in the corner,yelled at,,,,
2,old.low,5,1,5,old,low,b,4,b,The vice principal,saw,which,nerd,the,teacher,had,punished,with a detention note.,0,0,32,as a student,asked for help,called on,catered to,chosen,chosen,eyes for,favored,favored,helped,helped,helped,hugged,liked,liked,loved,made fun of,mocked,passed,petted,pointed out,praised,praised,praised,praised,praised,reprimanded,scolded,scolded,spoken with,teased,used to set the surve,,
3,new.high,5,3,5,new,high,g,4,c,The nerd,saw,which,rascal,the,teacher,had,punished,with a detention note.,8,0.266666667,30,been annoyed by the most,caught,caught,chastised ,disciplined,favorited,fed,fed,given a bad grade to,given detention,grabbed,hassled,punished,punished,punished,punished,punished,punished,punished,punished,punished. ,scolded,scolded ,slapped,spoken to,spotted,suspended,taught,tricked,yelled at,,,,
4,new.low,5,4,5,new,low,b,4,d,The rascal,saw,which,nerd,the,teacher,had,punished,with a detention note.,0,0,31,called on,called on,comforted,demeaned,failed,favored,favored,favorited,given a cookie to,helped,helped,laughed at,liked,liked,liked,loved,passed,praised,praised,praised,praised,praised,praised,praised,praised,praised,protected,protected,sit in front,taken a shine to,thrown an eraser at,,,
1,old.high,1,4,6,old,high,g,4,b,The vice principal,saw,which,nerd,the,teacher,had,praised,in the classroom.,5,0.15625,32,as a student,asked for help,called on,catered to,chosen,chosen,eyes for,favored,favored,helped,helped,helped,hugged,liked,liked,loved,made fun of,mocked,passed,petted,pointed out,praised,praised,praised,praised,praised,reprimanded,scolded,scolded,spoken with,teased,used to set the surve,,
2,old.low,1,3,6,old,low,b,4,a,The vice principal,saw,which,rascal,the,teacher,had,praised,in the classroom.,0,0,30,admired,applauded ,apprehended,caught,disciplined ,dismissed,faught,given detention to,punished,punished,punished,punished,punished,punished,punished,punished,punished,reported as a troublemaker,reprimanded,reprimanded,reprimanded,scolded,scolded,scolded,scolded,scorned,sent to detention,set out in the hall,sitting in the corner,yelled at,,,,
3,new.high,1,1,6,new,high,g,4,d,The rascal,saw,which,nerd,the,teacher,had,praised,in the classroom.,9,0.290322581,31,called on,called on,comforted,demeaned,failed,favored,favored,favorited,given a cookie to,helped,helped,laughed at,liked,liked,liked,loved,passed,praised,praised,praised,praised,praised,praised,praised,praised,praised,protected,protected,sit in front,taken a shine to,thrown an eraser at,,,
4,new.low,1,2,6,new,low,b,4,c,The nerd,saw,which,rascal,the,teacher,had,praised,in the classroom.,0,0,30,been annoyed by the most,caught,caught,chastised ,disciplined,favorited,fed,fed,given a bad grade to,given detention,grabbed,hassled,punished,punished,punished,punished,punished,punished,punished,punished,punished. ,scolded,scolded ,slapped,spoken to,spotted,suspended,taught,tricked,yelled at,,,,
1,old.high,2,2,7,old,high,g,6,a,The journalist,wrote,which,foodie,the,chef,had,served,at the restaurant.,2,0.066666667,30,argued with ,assisted,been reviewed by,cooked for,cooked for,cooked for,created,eaten. ,fed,for lunch,given high reviews for,had a fight with,hated most,impressed,impressed,impressed,irritated,learned from,liked,liked the most,made the most,murdered,offended,quoted,recommended,served,served,served,talked to,words with,,,,
2,old.low,2,1,7,old,low,b,6,b,The journalist,wrote,which,waiter,the,chef,had,served,at the restaurant.,0,0,31,accused of stealing food,admired for his most courteous service,as his head waiter,berated,chosen,complimented,dated,fired,fired,fired,food prepared,given the order to,influenced,praised,recommended,reprimanded,reprimanded,run his meals out to him,rushed,scolded,selected,serve him,served,served him,tipped,yelled at,yelled at,yelled at,yelled at,yelled at,yelled at,,,
3,new.high,2,4,7,new,high,g,6,c,The waiter,wrote,which,foodie,the,chef,had,served,at the restaurant.,2,0.066666667,30,asked for,asked to sample the dinner,bribed,called,catered to,chosen,complained about,cooked for,cooked for,cooked for,criticized ,dinner with,enraged,impressed,impressed,known,liked,liked,made the dish for,ordered,prepared,prepared,recommended,scolded,served,served,specially prepared,talked to,to impress,to keep an eye on,,,,
4,new.low,2,3,7,new,low,b,6,d,The foodie,wrote,which,waiter,the,chef,had,served,at the restaurant.,1,0.03125,32,bring out the food,confronted,dressed down,favored,fired,fired,fired,fired,given the food to,hired,hired,insulted,liked,poisoned,praised,praised,preferred,promoted,recommended,recommended,reprimanded ,sent,sent,sent,sent,spoken to,threatened,to cook the food,to fire for incompetence,verbally abused,yelled at,yelled at,,
1,old.high,3,3,8,old,high,g,6,b,The journalist,wrote,which,waiter,the,chef,had,yelled,at for being incompetent.,6,0.193548387,31,accused of stealing food,admired for his most courteous service,as his head waiter,berated,chosen,complimented,dated,fired,fired,fired,food prepared,given the order to,influenced,praised,recommended,reprimanded,reprimanded,run his meals out to him,rushed,scolded,selected,serve him,served,served him,tipped,yelled at,yelled at,yelled at,yelled at,yelled at,yelled at,,,
2,old.low,3,4,8,old,low,b,6,a,The journalist,wrote,which,foodie,the,chef,had,yelled,at for being incompetent.,0,0,30,argued with ,assisted,been reviewed by,cooked for,cooked for,cooked for,created,eaten. ,fed,for lunch,given high reviews for,had a fight with,hated most,impressed,impressed,impressed,irritated,learned from,liked,liked the most,made the most,murdered,offended,quoted,recommended,served,served,served,talked to,words with,,,,
3,new.high,3,1,8,new,high,g,6,d,The foodie,wrote,which,waiter,the,chef,had,yelled,at for being incompetent.,2,0.0625,32,bring out the food,confronted,dressed down,favored,fired,fired,fired,fired,given the food to,hired,hired,insulted,liked,poisoned,praised,praised,preferred,promoted,recommended,recommended,reprimanded ,sent,sent,sent,sent,spoken to,threatened,to cook the food,to fire for incompetence,verbally abused,yelled at,yelled at,,
4,new.low,3,2,8,new,low,b,6,c,The waiter,wrote,which,foodie,the,chef,had,yelled,at for being incompetent.,0,0,30,asked for,asked to sample the dinner,bribed,called,catered to,chosen,complained about,cooked for,cooked for,cooked for,criticized ,dinner with,enraged,impressed,impressed,known,liked,liked,made the dish for,ordered,prepared,prepared,recommended,scolded,served,served,specially prepared,talked to,to impress,to keep an eye on,,,,
1,old.high,4,1,9,old,high,g,8,a,The secretary,forgot,which,addict,the,therapist,had,treated,at the clinic.,4,0.133333333,30,admitted,an appointment with,assisted in getting better,been treating,booked,counseled,counseled,healed,helped,helped,just spoken to,made an appointment with,prescribed medication to,prescribed the pills for,recommended,recommended ,said,scheduled,scheduled,scheduled an appointment with,scheduled next,seen,seen,seen,seen that afternoon,treated,treated,treated,treated,worked,,,,
2,old.low,4,2,9,old,low,b,8,b,The secretary,forgot,which,doctor,the,therapist,had,treated,at the clinic.,2,0.0625,32,asked for,called,hired,needed to get information from,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended ,referenced,saddened,seen,seen,seen,seen,set up an appointment with,talked to earlier,treated,treated,used,visited,worked with,,
3,new.high,4,3,9,new,high,g,8,c,The doctor,forgot,which,addict,the,therapist,had,treated,at the clinic.,8,0.266666667,30,advised,assesed,been seeing,cured,cured,discussed with him earlier,evaluated,helped,helped in the past,referred,seen,seen,seen,seen,seen that afternoon,seen. ,sent him,spoken with,sponsored for medical treatment,treated,treated,treated,treated,treated,treated,treated,treated,visited,was treating,worked with,,,,
4,new.low,4,4,9,new,low,b,8,d,The addict,forgot,which,doctor,the,therapist,had,treated,at the clinic.,0,0,31,advised,in mind,mentioned,mentioned,prescriptions,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended for follow-up care,recommended him to see,referred ,referred him to,referred him to,spoken to,spoken with,suggested,suggested,suggested,told him to call,visited,,,
1,old.high,5,3,10,old,high,g,8,b,The secretary,forgot,which,doctor,the,therapist,had,recommended,for him to go to.,14,0.4375,32,asked for,called,hired,needed to get information from,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended ,referenced,saddened,seen,seen,seen,seen,set up an appointment with,talked to earlier,treated,treated,used,visited,worked with,,
2,old.low,5,4,10,old,low,b,8,a,The secretary,forgot,which,addict,the,therapist,had,recommended,for him to go to.,2,0.066666667,30,admitted,an appointment with,assisted in getting better,been treating,booked,counseled,counseled,healed,helped,helped,just spoken to,made an appointment with,prescribed medication to,prescribed the pills for,recommended,recommended ,said,scheduled,scheduled,scheduled an appointment with,scheduled next,seen,seen,seen,seen that afternoon,treated,treated,treated,treated,worked,,,,
3,new.high,5,2,10,new,high,g,8,d,The addict,forgot,which,doctor,the,therapist,had,recommended,for him to go to.,14,0.451612903,31,advised,in mind,mentioned,mentioned,prescriptions,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended for follow-up care,recommended him to see,referred ,referred him to,referred him to,spoken to,spoken with,suggested,suggested,suggested,told him to call,visited,,,
4,new.low,5,1,10,new,low,b,8,c,The doctor,forgot,which,addict,the,therapist,had,recommended,for him to go to.,0,0,30,advised,assesed,been seeing,cured,cured,discussed with him earlier,evaluated,helped,helped in the past,referred,seen,seen,seen,seen,seen that afternoon,seen. ,sent him,spoken with,sponsored for medical treatment,treated,treated,treated,treated,treated,treated,treated,treated,visited,was treating,worked with,,,,
1,old.high,1,1,11,old,high,g,10,a,The babysitter,learned,which,baby,the,mother,had,adopted,several weeks ago.,3,0.1,30,a child,adopted,adopted,adopted,bathed,bathed,been most concerned about,breastfed ,brought to the doctor,changed,changed already,delivered,diapered,dropped,fed,fed,fed,fed,fed,fed,first,first,first,given food to already,liked,loved the most,put to sleep,shaken,spoiled. ,tossed out the window,,,,
2,old.low,1,2,11,old,low,b,10,b,The babysitter,learned,which,teenager,the,mother,had,adopted,several weeks ago.,0,0,31,babied,beaten,chosen,chosen,chosen to replace her,favored,fired ,first,grounded,grounded,grounded,grounded,grounded,grounded,hated,hired,hired,interacted with,interviewed to take her place,left her with,not paid,punished,punished,replaced,seen,spoken with,trouble with,used,wanted her to babysit,wanted her to look after,warned her about,,,
3,new.high,1,4,11,new,high,g,10,c,The teenager,learned,which,baby,the,mother,had,adopted,several weeks ago.,5,0.166666667,30,abandonded,abandoned,adopted,adopted,adopted,adopted,adopted,almost lost,bathed,birthed,birthed,born,breastfed,brought,brought home,chosen,delivered,eaten,favored,given birth to,given birth to,given birth to,given up for adoption,given up for adoption,kissed,loved,nursed,rocked to sleep,selected,watched,,,,
4,new.low,1,3,11,new,low,b,10,d,The baby,learned,which,teenager,the,mother,had,adopted,several weeks ago.,1,0.03125,32,adopted,babysat,been,birthed,chosen,chosen to babysit,disowned,forgotten about,fucked,grounded,hated,hired,hired,hired,hired,hired,hired,kept away,liked,liked best,loved,met,picked,punished,punished,raised,raised,seen,seen,selected to babysit,spanked,spoken to,,
1,old.high,2,4,12,old,high,g,10,b,The babysitter,learned,which,teenager,the,mother,had,punished,for being late.,2,0.064516129,31,babied,beaten,chosen,chosen,chosen to replace her,favored,fired ,first,grounded,grounded,grounded,grounded,grounded,grounded,hated,hired,hired,interacted with,interviewed to take her place,left her with,not paid,punished,punished,replaced,seen,spoken with,trouble with,used,wanted her to babysit,wanted her to look after,warned her about,,,
2,old.low,2,3,12,old,low,b,10,a,The babysitter,learned,which,baby,the,mother,had,punished,for being late.,0,0,30,a child,adopted,adopted,adopted,bathed,bathed,been most concerned about,breastfed ,brought to the doctor,changed,changed already,delivered,diapered,dropped,fed,fed,fed,fed,fed,fed,first,first,first,given food to already,liked,loved the most,put to sleep,shaken,spoiled. ,tossed out the window,,,,
3,new.high,2,2,12,new,high,g,10,d,The baby,learned,which,teenager,the,mother,had,punished,for being late.,2,0.0625,32,adopted,babysat,been,birthed,chosen,chosen to babysit,disowned,forgotten about,fucked,grounded,hated,hired,hired,hired,hired,hired,hired,kept away,liked,liked best,loved,met,picked,punished,punished,raised,raised,seen,seen,selected to babysit,spanked,spoken to,,
4,new.low,2,1,12,new,low,b,10,c,The teenager,learned,which,baby,the,mother,had,punished,for being late.,0,0,30,abandonded,abandoned,adopted,adopted,adopted,adopted,adopted,almost lost,bathed,birthed,birthed,born,breastfed,brought,brought home,chosen,delivered,eaten,favored,given birth to,given birth to,given birth to,given up for adoption,given up for adoption,kissed,loved,nursed,rocked to sleep,selected,watched,,,,
1,old.high,3,2,13,old,high,g,17,a,The executive,revealed,which,clerk,the,manager,had,promoted,to a higher position.,7,0.21875,32,chosen,discriminated against,disengaged,fired,fired,fired,fired,fired,fired,fired,fired,fired,fired,had an affair with,had fired,hired,hired,hired,hired,interviewed,laid off,paid,promoted,promoted,promoted,promoted,promoted,promoted,promoted,rewarded,spoken with,stolen,,
2,old.low,3,1,13,old,low,b,17,b,The executive,revealed,which,customer,the,manager,had,promoted,to a higher position.,0,0,30,angered,argued with,argued with,assisted,attempted to cheat,chosen,displeased,fired,fleeced,given free food to,helped,helped,helped,hired,insulted,insulted,insulted. ,issues with,mislead,prefered,punched,refunded,rewarded ,should give the most perks to,signed with,sold to,spoke to,spoken to,spurned,talked to,,,,
3,new.high,3,3,13,new,high,g,17,c,The customer,revealed,which,clerk,the,manager,had,promoted,to a higher position.,3,0.096774194,31,berated,demoted,fired,fired,fired,fired,fired,fired,fired,fired,fired,fired,fired,hired,hired,hired ,promoted,promoted,promoted,punished,reprimanded,reprimanded,reprimanded,reprimanded,scoulded,sent home,singled out,snubbed,yelled at,yelled at,yelled at in front of everyone,,,
4,new.low,3,4,13,new,low,b,17,d,The clerk,revealed,which,customer,the,manager,had,promoted,to a higher position.,0,0,30,argued with,banned,bitterly complained about,chastised,cheated,chewed out for being rude,conversed with,dealt with,fired,given a refund to,harmed,helped,helped,helped,helped,joked with,kicked out of the store,pleased,questioned,refunded ,removed from the store,served,short changed,stolen property,taken aside,talked with,thanked,yelled at,yelled at,yelled at,,,,
1,old.high,4,4,14,old,high,g,21,a,The administrator,heard,which,patient,the,doctor,had,treated,in the hospital room.,7,0.21875,32,attended to,been sued by,cured,cured,discharged,examined,forgotten about,healed,helped,injured,killed,loved,molested,murdered,operated on,operated on,recommended for further testing,saw,seen,seen,seen,seen,seen,sent away,treated,treated,treated,treated,treated,treated,treated,worked with,,
2,old.low,4,3,14,old,low,b,21,b,The administrator,heard,which,nurse,the,doctor,had,treated,in the hospital room.,0,0,30,accused,an affair with,an affair with,assigned,boinked,called,chosen,chosen for assistance in surgery,dated,favored,fired,fired,fondled,hired,hired,hired,hired,paged,pinched,recommended,reprimanded,scolded,secretly had a crush on,slept with,slept with,slept with ,slept with. ,worked with,worked with,worked with,,,,
3,new.high,4,1,14,new,high,g,21,c,The nurse,heard,which,patient,the,doctor,had,treated,in the hospital room.,7,0.225806452,31,admitted,cured,cured,diagnosed,examined,helped,hurt,injured,molested,operated on,operated on,operated on,performed on,received,released,reprimanded for not quitting smoking ,requested vitals for,saved,saved,saved,saved,seen,seen,seen,treated,treated,treated,treated,treated,treated,treated,,,
4,new.low,4,2,14,new,low,b,21,d,The patient,heard,which,nurse,the,doctor,had,treated,in the hospital room.,0,0,30,a previous relationship with,called for,chosen,chosen,chosen for promotion,chosen to help her,fired,flattered,flirted with,fussed at,harassed,helped,hired,hired,kissed,kissed,kissed,looked at,nominated,reported to,repremanded,reprimanded,requested,requested,said,slept with,talked to,to fire,told his bad news to,yelled at,,,,
1,old.high,5,2,15,old,high,g,21,b,The administrator,heard,which,nurse,the,doctor,had,hired,to assist him.,4,0.133333333,30,accused,an affair with,an affair with,assigned,boinked,called,chosen,chosen for assistance in surgery,dated,favored,fired,fired,fondled,hired,hired,hired,hired,paged,pinched,recommended,reprimanded,scolded,secretly had a crush on,slept with,slept with,slept with ,slept with. ,worked with,worked with,worked with,,,,
2,old.low,5,1,15,old,low,b,21,a,The administrator,heard,which,patient,the,doctor,had,hired,to assist him.,0,0,32,attended to,been sued by,cured,cured,discharged,examined,forgotten about,healed,helped,injured,killed,loved,molested,murdered,operated on,operated on,recommended for further testing,saw,seen,seen,seen,seen,seen,sent away,treated,treated,treated,treated,treated,treated,treated,worked with,,
3,new.high,5,4,15,new,high,g,21,d,The patient,heard,which,nurse,the,doctor,had,hired,to assist him.,2,0.066666667,30,a previous relationship with,called for,chosen,chosen,chosen for promotion,chosen to help her,fired,flattered,flirted with,fussed at,harassed,helped,hired,hired,kissed,kissed,kissed,looked at,nominated,reported to,repremanded,reprimanded,requested,requested,said,slept with,talked to,to fire,told his bad news to,yelled at,,,,
4,new.low,5,3,15,new,low,b,21,c,The nurse,heard,which,patient,the,doctor,had,hired,to assist him.,0,0,31,admitted,cured,cured,diagnosed,examined,helped,hurt,injured,molested,operated on,operated on,operated on,performed on,received,released,reprimanded for not quitting smoking ,requested vitals for,saved,saved,saved,saved,seen,seen,seen,treated,treated,treated,treated,treated,treated,treated,,,
1,old.high,1,3,16,old,high,g,29,a,The author,revealed,which,ogre,the,hero,had,slain,in the cave.,17,0.53125,32,beaten,been,defeated,defeated,eliminated,killed,killed,kissed,married,saved,sex with,shot,slaid,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain ,slayed,smite ,turned away,vanquished,,
2,old.low,1,4,16,old,low,b,29,b,The author,revealed,which,maiden,the,hero,had,slain,in the cave.,0,0,30,been conquered by,chosen for marriage,fallen in love with,his eye on,issues with,married,married,married,rescued,rescued,rescued,rescued,rescued,rescued,rescued,rescued,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,seduced,sex with,,,,
3,new.high,1,1,16,new,high,g,29,c,The maiden,revealed,which,ogre,the,hero,had,slain,in the cave.,19,0.612903226,31,battled,defeated,defeated,defeated in battle,fended off,fought against ,killed,killed,killed,saved,saved,saved,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slayed,slayed,slayed,to slay,to slay,,,
4,new.low,1,2,16,new,low,b,29,d,The ogre ,revealed,which,maiden,the,hero,had,slain,in the cave.,0,0,30,ate,fallen in love with,favored,forgotten,fought for,kissed,married,rescued,rescued,rescued,rescued ,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved from his lair,selected,,,,
1,old.high,2,1,17,old,high,g,29,b,The author,revealed,which,maiden,the,hero,had,rescued,after the fight.,8,0.266666667,30,been conquered by,chosen for marriage,fallen in love with,his eye on,issues with,married,married,married,rescued,rescued,rescued,rescued,rescued,rescued,rescued,rescued,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,seduced,sex with,,,,
2,old.low,2,2,17,old,low,b,29,a,The author,revealed,which,ogre,the,hero,had,rescued,after the fight.,0,0,32,beaten,been,defeated,defeated,eliminated,killed,killed,kissed,married,saved,sex with,shot,slaid,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain ,slayed,smite ,turned away,vanquished,,
3,new.high,2,3,17,new,high,g,29,d,The ogre ,revealed,which,maiden,the,hero,had,rescued,after the fight.,4,0.133333333,30,ate,fallen in love with,favored,forgotten,fought for,kissed,married,rescued,rescued,rescued,rescued ,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved from his lair,selected,,,,
4,new.low,2,4,17,new,low,b,29,c,The maiden,revealed,which,ogre,the,hero,had,rescued,after the fight.,0,0,31,battled,defeated,defeated,defeated in battle,fended off,fought against ,killed,killed,killed,saved,saved,saved,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slain,slayed,slayed,slayed,to slay,to slay,,,
1,old.high,3,3,18,old,high,g,30,a,The bartender,knew,which,troublemakers,the,regulars,had,fought,after getting drunk.,3,0.1,30,a hard time with,a incident with,an issue with. ,attacked,avoided,avoided,beaten up,beefs with,been,been seeing,befriended,bootes,complained about,dealt with each afternoon,described,fought,fought,fought with,hit,identified,known for years,problems with,run into,shoved,to deal with,to put up with,trouble with,voted to kick out,with them,yelled at,,,,
2,old.low,3,4,18,old,low,b,30,b,The bartender,knew,which,barmaids,the,regulars,had,fought,after getting drunk.,0,0,31,a crush on,been served by,crushes on,dated,drinks with,enjoyed,favored,favored,flirted with,flirted with,gravitated towards,harassed,liked,liked,liked,payed,prefered,preferred,preferred,preferred,preferred to look at,requested most often,seen,served,spoken to,their eyes on,tipped,tipped,tipped the best,tipped the most,tipped the most,,,
3,new.high,3,2,18,new,high,g,30,c,The barmaids,knew,which,troublemakers,the,regulars,had,fought,after getting drunk.,4,0.133333333,30,a hard time with,a problem with,argued with,avoided,banned,beaten up,been talking to,brawled,brought in,complained about,complained about,complained about,fights with,fought,fought ,got in a fight with,hated,intimated,invited,ousted,problems with,problems with,reported,reported,singled out,talking,thrown out,thrown out,to avoid in order to stay out of fights,trouble with,,,,
